,subject,condition,validity,cue side,cue-target interval,reaction time,response
495,03,100,valid,left,1.299815,452.54,correct
496,03,100,valid,right,0.599969,387.412,correct
497,03,100,valid,left,1.083381,480.116,correct
498,03,100,valid,right,1.133226,410.36899999999997,correct
499,03,100,valid,right,0.69999,413.56100000000004,correct
500,03,100,valid,left,1.48326,460.539,correct
501,03,100,valid,left,1.100131,396.132,correct
502,03,100,valid,right,0.88314,449.204,correct
503,03,100,valid,right,0.866605,372.999,correct
504,03,100,valid,right,0.799953,414.37600000000003,correct
505,03,100,valid,right,0.666839,405.793,correct
506,03,100,valid,left,0.499746,388.546,correct
507,03,100,valid,right,0.816728,393.789,correct
508,03,100,valid,left,0.69987,343.714,correct
509,03,100,valid,right,1.299951,407.245,correct
510,03,100,valid,right,0.766621,459.115,correct
511,03,100,valid,right,0.91673,393.767,correct
512,03,100,valid,right,0.616851,466.118,correct
513,03,100,valid,left,0.683244,345.10999999999996,correct
514,03,100,valid,left,1.499854,397.26099999999997,correct
515,03,100,valid,left,1.016567,386.509,correct
516,03,100,valid,left,1.26689,312.012,correct
517,03,100,valid,left,0.950001,382.46200000000005,correct
518,03,100,valid,right,1.266837,377.567,correct
519,03,100,valid,right,0.966685,415.439,correct
520,03,100,valid,left,1.349896,422.305,correct
521,03,100,valid,right,1.066689,381.66099999999994,correct
522,03,100,valid,left,0.583337,562.345,correct
523,03,100,valid,right,1.149783,389.27299999999997,correct
524,03,100,valid,left,1.433326,392.314,correct
525,03,100,valid,right,1.200023,326.799,correct
526,03,100,valid,left,1.599869,479.164,correct
527,03,100,valid,left,0.933308,442.55499999999995,correct
528,03,100,valid,right,1.650142,565.9530000000001,correct
529,03,100,valid,right,0.616677,445.633,correct
530,03,100,valid,right,1.383293,442.73400000000004,correct
531,03,100,valid,left,1.683438,387.777,correct
532,03,100,valid,left,1.466674,443.524,correct
533,03,100,valid,right,1.033569,436.24,correct
534,03,100,valid,right,1.566699,385.123,correct
535,03,100,valid,right,1.083206,379.66299999999995,correct
536,03,100,valid,left,1.150018,365.008,correct
537,03,100,valid,left,1.216829,377.65700000000004,correct
538,03,100,valid,right,0.683303,561.976,correct
539,03,100,valid,right,1.283206,429.378,correct
540,03,100,valid,left,1.116524,460.533,correct
541,03,100,valid,left,0.549942,501.49999999999994,correct
542,03,100,valid,left,1.449865,397.24399999999997,correct
543,03,100,valid,left,1.11658,447.66,correct
544,03,100,valid,right,1.016831,424.676,correct
545,03,100,valid,right,1.333313,401.957,correct
546,03,100,valid,left,1.183235,411.66700000000003,correct
547,03,100,valid,right,1.416598,383.622,incorrect
548,03,100,valid,right,1.550181,430.699,correct
549,03,100,valid,left,1.550235,417.30400000000003,correct
550,03,100,valid,left,1.016561,444.71,correct
551,03,100,valid,left,1.583229,424.268,correct
552,03,100,valid,left,0.933172,544.6999999999999,correct
553,03,100,valid,left,1.683225,426.35,correct
554,03,100,valid,left,1.000195,466.764,correct
555,03,100,valid,left,0.866687,431.76300000000003,correct
556,03,100,valid,right,1.233558,518.113,correct
557,03,100,valid,right,1.583408,438.679,correct
558,03,100,valid,left,1.333366,445.013,correct
559,03,100,valid,right,0.983182,447.46000000000004,correct
560,03,60,valid,left,1.683503,452.832,correct
561,03,60,invalid,left,1.466902,358.58099999999996,correct
562,03,60,invalid,left,0.799985,373.229,correct
563,03,60,valid,left,0.750128,376.093,correct
564,03,60,valid,right,1.333574,403.412,correct
565,03,60,invalid,left,1.616753,424.02099999999996,correct
566,03,60,valid,right,1.55022,399.476,correct
567,03,60,invalid,left,1.449934,434.535,correct
568,03,60,valid,right,0.583424,368.595,correct
569,03,60,valid,left,1.616514,346.19,incorrect
